,Unnamed: 0_x,tweet_id,timestamp,text,full_text,hashtags,urls,source,Author,is_duplicated,twitter_username,Unnamed: 0_y,Name,Party,Start Date,End Date,Wikidata_ID,gender,birthday,twitter_numeric_user_id,subscriber_count,start_date,point_in_time,period,Location,Age,Seniority,Image_URL,Political_Party,normalized_party,Ideology,Ideology_Group,immigration
0,510363,1514868676528414728,2022-04-15 05:30:12,"🎙Een nieuwe Podtcast ➡️In deze aflevering spreek ik met @TamerAlalloush @openembassynl over de ontvangst van vluchtelingen in Nederland. Over verschillen in ontvangt en wat je zelf kunt doen. 

🎧Luisteren? https://t.co/yijtkadET9

(Of zoek ""Podtcast"" in je podcastapp)","🎙Een nieuwe Podtcast ➡️In deze aflevering spreek ik met @TamerAlalloush @openembassynl over de ontvangst van vluchtelingen in Nederland. Over verschillen in ontvangt en wat je zelf kunt doen. 

🎧Luisteren? https://t.co/yijtkadET9

(Of zoek ""Podtcast"" in je podcastapp)",[],['https://twitter.com/i/web/status/1514868676528414728'],twinl,Annemarijke,False,Annemarijke,136,Anne-Marijke Podt,D66,7 september 2021[bo],5 december 2023,Q122841334,female,+1975-01-16T00:00:00Z,Annemarijke,2251.0,+2008-07-24T00:00:00Z,+2020-04-25T00:00:00Z,2021_2023,,,,,D66,D66,2,Center,yes
1,171402,1362062377877987332,2021-02-17 14:32:31,"VVD stelt: we zijn teveel geld kwijt aan mensen die geen recht hebben op asiel en daarom moet men buiten de EU die aanvragen doen. Oftewel, we verschuiven het probleem naar ver weg, dan hoef ik er geen verantwoordelijkheid voor te nemen.","VVD stelt: we zijn teveel geld kwijt aan mensen die geen recht hebben op asiel en daarom moet men buiten de EU die aanvragen doen. Oftewel, we verschuiven het probleem naar ver weg, dan hoef ik er geen verantwoordelijkheid voor te nemen.",[],['https://twitter.com/i/web/status/1362062377877987332'],twinl,KoekkoekMarieke,False,KoekkoekMarieke,95,Marieke Koekkoek,Volt,31 maart 2021,14 maart 2023[az],Q122841334,female,+1989-02-26T00:00:00Z,KoekkoekMarieke,,,,2021_2023,,,,,Volt,Volt,1,Center,yes
2,170988,1617906456006737920,2023-01-24 15:25:33,"De tekorten in de opvang blijven oplopen. Dit weten we al maanden, maar de beloofde spreidingswet laat op zich wachten. Kabinet moet nu in actie komen. #asiel #migratie #opvang

Opvang asielzoekers: tekort aan bijna 40.000 plekken /via @Nieuwsuur https://t.co/MAbBsVWlrp",,[],['https://nos.nl/l/2461058'],twinl,KoekkoekMarieke,False,KoekkoekMarieke,95,Marieke Koekkoek,Volt,31 maart 2021,14 maart 2023[az],Q122841334,female,+1989-02-26T00:00:00Z,KoekkoekMarieke,,,,2021_2023,,,,,Volt,Volt,1,Center,yes
3,137607,1585034647112536064,2022-10-25 20:24:43,"Andere belangrijke onderwerpen waren energie- en voedselprijzen, multilaterale samenwerking, klimaatverandering, #SIDS, bestrijding van criminaliteit, migratie, en de relatie met Venezuela. 2/3","Andere belangrijke onderwerpen waren energie- en voedselprijzen, multilaterale samenwerking, klimaatverandering, #SIDS, bestrijding van criminaliteit, migratie, en de relatie met Venezuela. 2/3",[],['https://twitter.com/i/web/status/1585034647112536064'],twinl,WBHoekstra,False,WBHoekstra,77,Wopke Hoekstra,CDA,31 maart 2021,10 januari 2022[ar],Q122841334,male,+1975-09-30T00:00:00Z,WBHoekstra,28128.0,+2017-10-17T00:00:00Z,+2020-07-03T00:00:00Z,2021_2023,,,,,CDA,CDA,0,Center,yes
4,864423,1580199819221794817,2022-10-12 12:12:50,"Vorige week nog boden de kerken 10.000 plekken voor vluchtelingen aan, in coronatijd waren ze er in de strijd tegen eenzaamheid. Vandaag daarom een dikke streep onder hun grote maatschappelijke belang. #begrotingBiZa https://t.co/hAPYSt8g41","Vorige week nog boden de kerken 10.000 plekken voor vluchtelingen aan, in coronatijd waren ze er in de strijd tegen eenzaamheid. Vandaag daarom een dikke streep onder hun grote maatschappelijke belang. #begrotingBiZa https://t.co/hAPYSt8g41",[],['https://twitter.com/i/web/status/1580199819221794817'],twinl,mirjambikker,False,mirjambikker,19,Mirjam Bikker,CU,31 maart 2021,5 december 2023,Q122841334,female,+1982-01-01T00:00:00Z,mirjambikker,,+2010-03-01T00:00:00Z,+2021-03-29T00:00:00Z,2021_2023,,,,,CU,ChristenUnie,0,Center,yes
5,645968,1555821007650406401,2022-08-06 05:40:08,Regio Alkmaar neemt zijn evenredige deel voor opvang van vluchtelingen. Hoop dat de achterblijvers ook snel hun verantwoordelijk nemen. De meeste mensen vluchten voor oorlog en geweld en 92% wordt al in de eigen regio opgevangen.,Regio Alkmaar neemt zijn evenredige deel voor opvang van vluchtelingen. Hoop dat de achterblijvers ook snel hun verantwoordelijk nemen. De meeste mensen vluchten voor oorlog en geweld en 92% wordt al in de eigen regio opgevangen.,[],['https://twitter.com/i/web/status/1555821007650406401'],twinl,JoelVoordewind,False,JoelVoordewind,174,Joël Voordewind,,CU,20 september 2012,Q122841334,male,+1965-07-09T00:00:00Z,JoelVoordewind,21084.0,+2009-08-30T00:00:00Z,+2020-04-25T00:00:00Z,2012_2017,,,,,CU,ChristenUnie,0,Center,yes
6,182994,1301870718356017152,2020-09-04 11:12:21,@CanYouImagineI @FritsHuffnagel @nuooons @krijnlock Verschil is natuurlijk dat die vluchtelingen geen tweede kans krijgen. Die moeten het land uit of magen er niet eens in. Zelfs als ze niets misdaan hebben. Want wie weet is hun vader terrorist.,@CanYouImagineI @FritsHuffnagel @nuooons @krijnlock Verschil is natuurlijk dat die vluchtelingen geen tweede kans krijgen. Die moeten het land uit of magen er niet eens in. Zelfs als ze niets misdaan hebben. Want wie weet is hun vader terrorist.,[],['https://twitter.com/i/web/status/1301870718356017152'],twinl,advocaatsmeets,False,advocaatsmeets,153,Sidney Smeets,D66,31 maart 2021,15 april 2021[f],Q122841334,male,+1975-06-18T00:00:00Z,advocaatsmeets,,,,2021_2023,,,,,D66,D66,2,Center,yes
7,170927,1430901200124203013,2021-08-26 12:33:25,"Het gebrek aan opvangplekken zorgt ervoor dat in praktische zin, vluchtelingen geen asiel kunnen aanvragen en dus geen aanspraak kunnen maken op hun recht op asiel, zoals beschreven in de Universele Verklaring van de Rechten van de Mens. 3/","Het gebrek aan opvangplekken zorgt ervoor dat in praktische zin, vluchtelingen geen asiel kunnen aanvragen en dus geen aanspraak kunnen maken op hun recht op asiel, zoals beschreven in de Universele Verklaring van de Rechten van de Mens. 3/",[],['https://twitter.com/i/web/status/1430901200124203013'],twinl,KoekkoekMarieke,False,KoekkoekMarieke,95,Marieke Koekkoek,Volt,31 maart 2021,14 maart 2023[az],Q122841334,female,+1989-02-26T00:00:00Z,KoekkoekMarieke,,,,2021_2023,,,,,Volt,Volt,1,Center,yes
8,169297,1625771781100384256,2023-02-15 08:19:32,"Wat wel werkt: legale routes instellen, zodat mensen vooraf asiel kunnen aanvragen, veilig over kunnen komen en in Nederland meteen aan het werk kunnen.",,[],[],twinl,KoekkoekMarieke,False,KoekkoekMarieke,95,Marieke Koekkoek,Volt,31 maart 2021,14 maart 2023[az],Q122841334,female,+1989-02-26T00:00:00Z,KoekkoekMarieke,,,,2021_2023,,,,,Volt,Volt,1,Center,yes
9,771360,1248218256646815745,2020-04-09 09:56:37,"Zonder gunfactor staat Nederland de komende tijd alleen in alle andere Europese onderhandelingen.

Denk aan de EU-begroting, klimaatambities, onze handelsbelangen rondom Brexit, nieuw migratiebeleid en de belangen van Nederlandse bloementelers en vissers.","Zonder gunfactor staat Nederland de komende tijd alleen in alle andere Europese onderhandelingen.

Denk aan de EU-begroting, klimaatambities, onze handelsbelangen rondom Brexit, nieuw migratiebeleid en de belangen van Nederlandse bloementelers en vissers.",[],['https://twitter.com/i/web/status/1248218256646815745'],twinl,RobJetten,False,RobJetten,161,Rob Jetten,D66,23 maart 2017,31 maart 2021,Q122841334,male,+1987-03-25T00:00:00Z,RobJetten,36026.0,+2009-04-26T00:00:00Z,+2020-04-27T00:00:00Z,2017_2021,,,,,D66,D66,2,Center,yes
10,347375,1724096561183896059,2023-11-13 16:07:07,"De meerderheid van de Nederlanders (65%) vindt inperking van migratie aanzienlijk belangrijker dan het halen van de klimaatdoelen.
Alleen stemmers op PvdA/GL, D66, Volt en de PvdD willen de migratie juist niet verminderen. https://t.co/YpPR3Sol5T","De meerderheid van de Nederlanders (65%) vindt inperking van migratie aanzienlijk belangrijker dan het halen van de klimaatdoelen.
Alleen stemmers op PvdA/GL, D66, Volt en de PvdD willen de migratie juist niet verminderen. https://t.co/YpPR3Sol5T",[],"['""https://twitter.com/HenkKrol/status/1724096561183896059""']",profile-scraper,HenkKrol,False,HenkKrol,85,Henk Krol,,50+,20 september 2012,Q122841334,male,+1950-04-01T00:00:00Z,HenkKrol,19466.0,+2009-03-14T00:00:00Z,+2018-05-10T00:00:00Z,2012_2017,,,,,50+,50PLUS,1,Center,yes
11,802615,1250391966841528322,2020-04-15 09:54:10,@_andre_dammer @FolkertZijl @jaaprodenburg Per saldo neemt door immigratie de bevolkingsgroei in NL toe.,,[],[],twinl,DerkBoswijk,False,DerkBoswijk,23,Derk Boswijk,CDA,31 maart 2021,5 december 2023,Q122841334,male,+1989-04-08T00:00:00Z,DerkBoswijk,,,,2021_2023,,,,,CDA,CDA,0,Center,yes
12,507415,1618215200448188416,2023-01-25 11:52:23,Is Europese samenwerking op migratie lastig? Zeker! Omdat landen in noord- en zuid-Europa heel verschillende belangen hebben. Het zijn dan ook de individuele lidstaten en niet “Europa” die dwars liggen voor de echte oplossing: het Europees migratiepact. 🧵4,,[],[],twinl,Annemarijke,False,Annemarijke,136,Anne-Marijke Podt,D66,7 september 2021[bo],5 december 2023,Q122841334,female,+1975-01-16T00:00:00Z,Annemarijke,2251.0,+2008-07-24T00:00:00Z,+2020-04-25T00:00:00Z,2021_2023,,,,,D66,D66,2,Center,yes
