,Name,Party,Start Date,End Date,Wikidata_ID,gender,birthday,twitter_username,twitter_numeric_user_id,subscriber_count,start_date,point_in_time,period,Location,Age,Seniority,Image_URL
0,Fleur Agema,,PVV,20 september 2012,Q122841334,female,+1976-09-16T00:00:00Z,FleurAgemaPVV,FleurAgemaPVV,42824.0,+2010-01-15T00:00:00Z,+2018-05-10T00:00:00Z,2012_2017,,,,
1,Mustafa Amhaouch,,CDA,12 januari 2016,Q122841334,male,+1970-06-27T00:00:00Z,MustafaAmhaouch,MustafaAmhaouch,3718.0,+2012-07-01T00:00:00Z,+2020-04-26T00:00:00Z,2012_2017,,,,
2,Khadija Arib,,PvdA,20 september 2012,Q122841334,female,+1960-10-10T00:00:00Z,khadijaArib,khadijaArib,26560.0,+2011-12-14T00:00:00Z,+2020-04-21T00:00:00Z,2012_2017,,,,
3,Tamara van Ark,,VVD,20 september 2012,Q122841334,female,+1974-08-11T00:00:00Z,tamaravanark,tamaravanark,8298.0,+2009-02-09T00:00:00Z,+2018-05-10T00:00:00Z,2012_2017,,,,
4,Amma Asante,,PvdA,7 september 2016,Q122841334,female,+1969-09-13T00:00:00Z,AmmaAsante,AmmaAsante,26672.0,+2011-05-23T00:00:00Z,+2020-04-15T00:00:00Z,2012_2017,,,,
5,Malik Azmani,,VVD,20 september 2012,Q122841334,male,+1976-01-20T00:00:00Z,MalikAzmani,MalikAzmani,5963.0,+2011-10-12T00:00:00Z,+2018-05-10T00:00:00Z,2012_2017,,,,
6,Martine Baay-Timmerman,,50+[b],29 oktober 2013,Q122841334,female,+1958-01-16T00:00:00Z,,,,,,2012_2017,,,,
7,Farshad Bashir,,SP,20 september 2012,Q122841334,male,+1988-01-14T00:00:00Z,FarshadBashir,FarshadBashir,16953.0,+2009-02-27T00:00:00Z,+2018-05-10T00:00:00Z,2012_2017,,,,
8,Harm Beertema,,PVV,20 september 2012,Q122841334,male,+1952-03-09T00:00:00Z,harmbeertema,harmbeertema,11490.0,+2010-05-16T00:00:00Z,+2020-04-20T00:00:00Z,2012_2017,,,,
9,Salima Belhaj,,D66,26 januari 2016,Q122841334,female,+1978-10-18T00:00:00Z,SalimaBelhaj,SalimaBelhaj,3188.0,+2010-06-04T00:00:00Z,+2018-05-10T00:00:00Z,2012_2017,,,,
10,Ybeltje Berckmoes-Duindam,,VVD,20 september 2012,Q122841334,female,+1967-02-11T00:00:00Z,YbeltjeBD,YbeltjeBD,,,,2012_2017,,,,
11,Vera Bergkamp,,D66,20 september 2012,Q122841334,female,+1971-06-01T00:00:00Z,Vera_Bergkamp,Vera_Bergkamp,19649.0,+2009-12-28T00:00:00Z,+2018-05-10T00:00:00Z,2012_2017,,,,
12,Magda Berndsen,,D66,20 september 2012,Q122841334,female,+1950-05-04T00:00:00Z,magdaberndsen,magdaberndsen,,+2012-06-07T00:00:00Z,+2020-03-19T00:00:00Z,2012_2017,,,,
